OBJECTID,CREATION_DT,RECORDATION_DT,NARRATIVE,EXPIRATION_DT,STATUS,SQUARE,SUFFIX,LOT,LOT_TYPE,COMPUTED_AREA_SF,SURVEYED_AREA_SF,MAR_ID,IS_REAR_OF,BLDG_NUM,BLDG_NUM_EXT,BLDG_NUM_END_RANGE,BLDG_EXT_END_RANGE,QUADRANT,ZIP5,ZIP4,RECORD_AREA_SF,CONV_TOLERANCE_TYPE,CONV_TOLERANCE_VALUE,CONV_TOLERANCE_RESOLUTION,RECORDLOTSPLYID,PARCELSPLYID,SQUAREPLYID,OF_LOT_SEQ,BOOK_NUM,PAGE_NUM,UNDERLIES_CONDO,CONDO_BOOK_NUM,CONDO_PAGE_NUM,KILL_DT,SSL,COL,CONDOLOT,CONDO_REGIME_NUM,AREA,LEN,SHAPE_Length,SHAPE_Area
3852604,2011/05/17 00:00:00+00,2011/05/17 00:00:00+00,"SEE CONDO BOOK 77, PAGE 47 (CONDOS 2161 - 2170) KILLED TAX LOTS 807 - 811 ON 11/28/2012",,2,4327,,0810,2,2064,,,,,,,,,,,2064,,,,,,,,3853 & 3854,E & A,1,77,47,2012/11/28 00:00:00+00,4327    0810,N,Y,3200,,,86.164433820442,317.270068369966
3852605,2006/09/09 00:00:00+00,,DELIVERY 7 - SEE CONDO BOOK 76 PAGE 12 (CONDOS 2007 & 2008) KILLED TAX LOT 809 ON 1/25/2012.,,2,3104,,0809,2,1561,,,,,,,,,,,1561,1,,,,,,,106,*,1,76,12,2012/01/25 00:00:00+00,3104    0809,N,Y,1444,,,88.7004470475961,239.941969026
3852606,2006/09/09 00:00:00+00,,"SEE CONDO BOOK 118, PAGE 7 (CONDOS 2041 - 2044) KILLED TAX LOT 826 ON 9/7/2021",,2,4059,,0826,2,2304,,,,,,,,,,,2304,1,,,,,,,1757,*,1,118,7,2021/09/07 00:00:00+00,4059    0826,N,Y,9999,,,81.5661957223396,354.001157908892
3852607,2006/09/09 00:00:00+00,,PHASE 1,,2,0156,,0811,2,2105,,,,,,,,,,,2115,1,,,,,,,,,1,45,8,2001/05/17 00:00:00+00,0156    0811,N,Y,2527,,,95.9576876191061,323.526000225111
3852608,2010/06/11 00:00:00+00,1967/04/21 00:00:01+00,SEE CONDO BOOK 28 PAGE 45 (CONDOS 2001 - 2757) KILLED TAX LOT 803 ON 9/21/1981.,,2,2049,,0803,2,342488,,,,,,,,,,,341546,,,,,,,,3554,F,1,28,45,1981/09/21 00:00:00+00,2049    0803,N,Y,1080,,,993.11210696533,53221.0040452202
3852609,2006/09/09 00:00:00+00,,"SEE CONDO BOOK 104, PAGE 32 (CONDOS 2024 - 2027) KILLED TAX LOT 827 ON 11/15/2019",,2,4059,,0827,2,2304,,,,,,,,,,,2304,1,,,,,,,1757,*,1,104,32,2019/11/15 00:00:00+00,4059    0827,N,Y,9999,,,81.5680604926203,354.008302744079
3852610,2006/09/09 00:00:00+00,,"SEE CONDO BOOK 116, PAGE 50 (CONDOS 2032 - 2035) KILLED TAX LOT 833 ON 6/7/2021",,2,4059,,0833,2,2304,,,,,,,,,,,2304,1,,,,,,,1757,*,1,116,50,2021/06/07 00:00:00+00,4059    0833,N,Y,9999,,,81.5689825288203,354.029476169184
3852611,2010/02/13 00:00:00+00,,COMMERCIAL CONDOS (2013 - 2022) KILLED TAX LOT 809.,,2,0177,N,0809,2,2228,,,,,,,,,,,,,,,,,,,,,1,41,34,1994/04/28 00:00:00+00,0177N   0809,N,Y,0005,,,86.6653576278015,342.458237820822
3852612,2010/06/21 00:00:00+00,1982/09/16 00:00:00+00,"SEE CONDO BOOK 31, PAGE 10 (CONDOS 2001 - 2014) KILLED TAX LOT 846 ON 11/15/1982.",,2,2621,,0846,2,14226,,,,,,,,,,,14321,,,,,,,,3686,L,1,31,10,1982/11/15 00:00:00+00,2621    0846,N,Y,1232,,,260.387094408034,2187.73474116796
3852613,2010/06/25 00:00:00+00,,SEE CONDO BOOK 34 PAGE 2 (CONDOS 2007 - 2026) KILLED TAX LOT 819 ON 2/22/1985.,,2,3276,,0819,2,9350,,,,,,,,,,,,,,,,,,,,,1,34,2,1985/02/22 00:00:00+00,3276    0819,N,Y,3018,,,176.746198889032,1439.40180199613
